$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
KLD-PS-PM;One-Time;USD,USD,true,false,Project Management,Standard Price Book;true,KLD-PS-PM,One-Time;OneTime,195.0
KLD-PS-TECH;One-Time;USD,USD,true,false,Technical Support,Standard Price Book;true,KLD-PS-TECH,One-Time;OneTime,175.0
KLD-RCMGR-DECRYPT;One-Time;USD,USD,true,false,RCMgr Drive Decryption,Standard Price Book;true,KLD-RCMGR-DECRYPT,One-Time;OneTime,200.0
KLD-RCMGR-PC;One-Time;USD,USD,true,false,RCMgr Self Collection Computer,Standard Price Book;true,KLD-RCMGR-PC,One-Time;OneTime,550.0
KLD-RCMGR-SRV;One-Time;USD,USD,true,false,RCMgr Self Collection Server,Standard Price Book;true,KLD-RCMGR-SRV,One-Time;OneTime,850.0
KLD-RMDC-FLAT;One-Time;USD,USD,true,false,RMDC - Remote Mobile Device Collection (Flat),Standard Price Book;true,KLD-RMDC-FLAT,One-Time;OneTime,1250.0
KLD-RMDC-HR;One-Time;USD,USD,true,false,RMDC - Remote Mobile Device Collection (Hourly),Standard Price Book;true,KLD-RMDC-HR,One-Time;OneTime,295.0
KLD-SETUP-MATTER-GB;One-Time;USD,USD,true,false,Transactional Matter Set Up Fee,Standard Price Book;true,KLD-SETUP-MATTER-GB,One-Time;OneTime,10.0
KLD-STAGING;One-Time;USD,USD,true,false,Staging,Standard Price Book;true,KLD-STAGING,One-Time;OneTime,10.0
KLD-TRAVEL-EXP;One-Time;USD,USD,true,false,Travel Expense,Standard Price Book;true,KLD-TRAVEL-EXP,One-Time;OneTime,0.0
KLD-TRAVEL-TIME;One-Time;USD,USD,true,false,Travel Time,Standard Price Book;true,KLD-TRAVEL-TIME,One-Time;OneTime,175.0
KLD-NEB-ECA-HOST;Evergreen Monthly;USD,USD,true,false,Nebula ECA Hosting,Standard Price Book;true,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,2.5
KLD-NEB-ECA-HOST;Term Monthly;USD,USD,true,false,Nebula ECA Hosting,Standard Price Book;true,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,2.5
KLD-NEB-REVIEW;Evergreen Monthly;USD,USD,true,false,Nebula Review,Standard Price Book;true,KLD-NEB-REVIEW,Evergreen Monthly;Evergreen,14.0
KLD-NEB-REVIEW;Term Monthly;USD,USD,true,false,Nebula Review,Standard Price Book;true,KLD-NEB-REVIEW,Term Monthly;TermDefined,14.0
KLD-R1-ECA-HOST;Evergreen Monthly;USD,USD,true,false,RelOne ECA Hosting,Standard Price Book;true,KLD-R1-ECA-HOST,Evergreen Monthly;Evergreen,2.5
KLD-R1-ECA-HOST;Term Monthly;USD,USD,true,false,RelOne ECA Hosting,Standard Price Book;true,KLD-R1-ECA-HOST,Term Monthly;TermDefined,2.5
KLD-R1-REVIEW;Evergreen Monthly;USD,USD,true,false,RelOne Review,Standard Price Book;true,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,14.0
KLD-R1-REVIEW;Term Monthly;USD,USD,true,false,RelOne Review,Standard Price Book;true,KLD-R1-REVIEW,Term Monthly;TermDefined,14.0
