$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;KLD-FOR-COLL;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-COLL,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,10,
;KLD-FOR-RCOLL;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-RCOLL,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,20,
;KLD-FOR-DOWNTIME;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-DOWNTIME,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,30,
;KLD-RMDC-HR;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-RMDC-HR,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,40,
;KLD-RMDC-FLAT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-RMDC-FLAT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,50,
;KLD-RCMGR-PC;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-PC,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,60,
;KLD-RCMGR-SRV;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-SRV,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,70,
;KLD-RCMGR-DECRYPT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-DECRYPT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,80,
;KLD-FOR-ANALYSIS;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-ANALYSIS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,90,
;KLD-TRAVEL-TIME;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-TRAVEL-TIME,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,100,
;KLD-TRAVEL-EXP;KLD-PATH-NEB-R1;KLD-CG-NEBR1-FORENS;Bundle to Bundle Component Relationship,KLD-TRAVEL-EXP,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-FORENS,Bundle to Bundle Component Relationship,1,,Always,110,
;KLD-STAGING;KLD-PATH-NEB-R1;KLD-CG-NEBR1-STAGING;Bundle to Bundle Component Relationship,KLD-STAGING,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-STAGING,Bundle to Bundle Component Relationship,1000,,Always,120,
;KLD-NEB-ECA-HOST;KLD-PATH-NEB-R1;KLD-CG-NEBR1-ECA;Bundle to Bundle Component Relationship,KLD-NEB-ECA-HOST,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-ECA,Bundle to Bundle Component Relationship,1313,,Always,130,
;KLD-R1-REVIEW;KLD-PATH-NEB-R1;KLD-CG-NEBR1-REVIEW;Bundle to Bundle Component Relationship,KLD-R1-REVIEW,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-REVIEW,Bundle to Bundle Component Relationship,562,,Always,140,
;KLD-AI-ECI-CORE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-CORE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,150,
;KLD-AI-ECI-ELEMENTS;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-ELEMENTS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,160,
;KLD-AI-CASEBOT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-CASEBOT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,170,
;KLD-AI-RELEVANCE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-RELEVANCE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,180,
;KLD-AI-PRIVILEGE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PRIVILEGE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,190,
;KLD-AI-PII-DETECT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-DETECT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,200,
;KLD-AI-PII-EXTRACT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-EXTRACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,210,
;KLD-AI-PII-REDACT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-REDACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,220,
;KLD-AN-ANALYTICS;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AN-ANALYTICS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,230,
;KLD-AN-SUM;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AN-SUM,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,240,
;KLD-AN-SUM-MED;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AN-SUM-MED,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,250,
;KLD-AN-XLAT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AN-XLAT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,260,
;KLD-AN-TRANSCRIBE;KLD-PATH-NEB-R1;KLD-CG-NEBR1-AI;Bundle to Bundle Component Relationship,KLD-AN-TRANSCRIBE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-AI,Bundle to Bundle Component Relationship,1,,Always,270,
;KLD-PS-PM;KLD-PATH-NEB-R1;KLD-CG-NEBR1-PS;Bundle to Bundle Component Relationship,KLD-PS-PM,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-PS,Bundle to Bundle Component Relationship,11,,Always,280,
;KLD-PS-TECH;KLD-PATH-NEB-R1;KLD-CG-NEBR1-PS;Bundle to Bundle Component Relationship,KLD-PS-TECH,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-PS,Bundle to Bundle Component Relationship,7,,Always,290,
;KLD-MED-HDD;KLD-PATH-NEB-R1;KLD-CG-NEBR1-MEDIA;Bundle to Bundle Component Relationship,KLD-MED-HDD,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-MEDIA,Bundle to Bundle Component Relationship,1,,Always,300,
;KLD-MED-FREIGHT;KLD-PATH-NEB-R1;KLD-CG-NEBR1-MEDIA;Bundle to Bundle Component Relationship,KLD-MED-FREIGHT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-R1,Bundle,,KLD-CG-NEBR1-MEDIA,Bundle to Bundle Component Relationship,1,,Always,310,
;KLD-FOR-COLL;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-COLL,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,10,
;KLD-FOR-RCOLL;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-RCOLL,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,20,
;KLD-FOR-DOWNTIME;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-DOWNTIME,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,30,
;KLD-RMDC-HR;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-RMDC-HR,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,40,
;KLD-RMDC-FLAT;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-RMDC-FLAT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,50,
;KLD-RCMGR-PC;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-PC,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,60,
;KLD-RCMGR-SRV;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-SRV,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,70,
;KLD-RCMGR-DECRYPT;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-DECRYPT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,80,
;KLD-FOR-ANALYSIS;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-ANALYSIS,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,90,
;KLD-TRAVEL-TIME;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-TRAVEL-TIME,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,100,
;KLD-TRAVEL-EXP;KLD-PATH-R1-R1;KLD-CG-R1R1-FORENS;Bundle to Bundle Component Relationship,KLD-TRAVEL-EXP,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-FORENS,Bundle to Bundle Component Relationship,1,,Always,110,
;KLD-STAGING;KLD-PATH-R1-R1;KLD-CG-R1R1-STAGING;Bundle to Bundle Component Relationship,KLD-STAGING,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-STAGING,Bundle to Bundle Component Relationship,1000,,Always,120,
;KLD-R1-ECA-HOST;KLD-PATH-R1-R1;KLD-CG-R1R1-ECA;Bundle to Bundle Component Relationship,KLD-R1-ECA-HOST,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-ECA,Bundle to Bundle Component Relationship,1313,,Always,130,
;KLD-R1-REVIEW;KLD-PATH-R1-R1;KLD-CG-R1R1-REVIEW;Bundle to Bundle Component Relationship,KLD-R1-REVIEW,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-REVIEW,Bundle to Bundle Component Relationship,562,,Always,140,
;KLD-AI-ECI-CORE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-CORE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,150,
;KLD-AI-ECI-ELEMENTS;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-ELEMENTS,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,160,
;KLD-AI-CASEBOT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-CASEBOT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,170,
;KLD-AI-RELEVANCE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-RELEVANCE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,180,
;KLD-AI-PRIVILEGE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PRIVILEGE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,190,
;KLD-AI-PII-DETECT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-DETECT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,200,
;KLD-AI-PII-EXTRACT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-EXTRACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,210,
